peminatan,brand,posisi,label_sepatu
power,umbro,midfielder,power_boot
speed,umbro,goalkeeper,speed_boot
power,umbro,defender,speed_boot
speed,puma,midfielder,speed_boot
power,nike,defender,power_boot
power,adidas,defender,power_boot
power,nike,goalkeeper,power_boot
control,puma,goalkeeper,control_boot
control,umbro,midfielder,control_boot
power,puma,midfielder,power_boot
speed,mizuno,striker,speed_boot
power,puma,goalkeeper,power_boot
control,puma,defender,power_boot
speed,nike,defender,speed_boot
power,adidas,midfielder,control_boot
power,umbro,goalkeeper,power_boot
speed,puma,goalkeeper,speed_boot
control,puma,defender,control_boot
power,umbro,defender,power_boot
power,umbro,goalkeeper,power_boot
speed,puma,defender,speed_boot
speed,adidas,goalkeeper,speed_boot
speed,puma,striker,power_boot
control,adidas,defender,power_boot
speed,mizuno,striker,speed_boot
power,umbro,goalkeeper,power_boot
control,umbro,defender,power_boot
control,adidas,striker,control_boot
speed,puma,defender,speed_boot
speed,puma,striker,speed_boot
power,umbro,midfielder,power_boot
speed,puma,striker,speed_boot
control,mizuno,goalkeeper,power_boot
control,umbro,striker,control_boot
control,mizuno,striker,control_boot
speed,puma,striker,speed_boot
control,puma,midfielder,control_boot
speed,puma,midfielder,speed_boot
power,mizuno,midfielder,speed_boot
power,nike,goalkeeper,power_boot
speed,puma,goalkeeper,speed_boot
power,puma,midfielder,power_boot
power,nike,goalkeeper,power_boot
power,puma,defender,speed_boot
speed,puma,midfielder,control_boot
control,adidas,midfielder,control_boot
control,adidas,defender,control_boot
control,umbro,goalkeeper,control_boot
speed,puma,goalkeeper,speed_boot
control,mizuno,defender,control_boot
speed,umbro,striker,speed_boot
control,nike,striker,control_boot
power,adidas,midfielder,power_boot
power,umbro,striker,speed_boot
control,nike,striker,control_boot
control,adidas,defender,control_boot
control,nike,goalkeeper,control_boot
control,adidas,midfielder,control_boot
speed,umbro,midfielder,speed_boot
speed,puma,midfielder,speed_boot
power,mizuno,midfielder,control_boot
speed,mizuno,defender,power_boot
control,mizuno,striker,power_boot
speed,umbro,midfielder,speed_boot
speed,puma,striker,control_boot
speed,nike,defender,speed_boot
control,adidas,midfielder,control_boot
power,adidas,striker,power_boot
power,adidas,goalkeeper,power_boot
speed,umbro,defender,control_boot
power,mizuno,defender,power_boot
speed,nike,goalkeeper,control_boot
control,nike,defender,control_boot
speed,nike,striker,speed_boot
power,adidas,defender,power_boot
power,nike,striker,power_boot
control,nike,midfielder,control_boot
power,mizuno,goalkeeper,power_boot
control,adidas,striker,control_boot
speed,mizuno,midfielder,control_boot
power,adidas,goalkeeper,power_boot
speed,adidas,goalkeeper,control_boot
power,umbro,striker,power_boot
control,umbro,goalkeeper,speed_boot
power,adidas,midfielder,power_boot
speed,mizuno,midfielder,control_boot
control,umbro,midfielder,control_boot
power,puma,midfielder,power_boot
power,umbro,defender,power_boot
power,umbro,defender,control_boot
power,mizuno,striker,speed_boot
control,puma,striker,control_boot
power,mizuno,striker,power_boot
speed,puma,striker,speed_boot
speed,adidas,defender,control_boot
control,umbro,striker,speed_boot
speed,umbro,striker,speed_boot
power,umbro,midfielder,power_boot
power,umbro,goalkeeper,power_boot
power,umbro,striker,power_boot
control,umbro,goalkeeper,control_boot
speed,adidas,defender,speed_boot
speed,nike,midfielder,power_boot
speed,puma,goalkeeper,power_boot
speed,nike,goalkeeper,speed_boot
power,mizuno,striker,power_boot
speed,nike,defender,speed_boot
power,puma,goalkeeper,power_boot
